og_representation,mapping
विआन,0
तिन्ही,3
थ्री,3
तिन,3
चार,4
सात,7
सेव्हन,7
सेवेन,7
अकरा,11
एलेवेन,11
एलेवन,11
बारा,12
बाराव,12
तेरावा,13
चौदावा,14
चौदाहावा,14
बावीसावा,22
बावीस,22
तेविसावा,23
चोविसावा,24
पंचविसावा,25
सत्ताविसावा,27
अठ्ठावीसावा,28
आठविसावा,28
तिसावा,30
तीस,30
छत्तीशी,36
एकोणतिसावा,39
_,_
�,","
‘’,""""
”,""""
],]
@,@
@,@
।,|
दहावा,10th
दसरा,10th
दहवा,10th
टेंथ,10th
अकरावा,11th
ईलेवन्थ,11th
बारावा,12th
बारवा,12th
सोलावा,16th
सतरावा,17th
अठरावा,18th
पहिल्,1st
पहिल,1st
पहिला,1st
पहला,1st
फर्स्ट,1st
पह,1st
पहेला,1st
पाहिलं,1st
पाहिले,1st
पहिली,1st
फस्ट,1st
पहिले,1st
प्रथम,1st
पहील,1st
पहील्,1st
पहिलामजला,1st floor
पहिलामाळा,1st floor
पहीलामजला,1st floor
अडीच,2 and a half
दुसरा,2nd
दुसारा,2nd
दुसरे,2nd
दूसरा,2nd
दुसर,2nd
दुस,2nd
सेंकड,2nd
दुसऱ्,2nd
दूसरे,2nd
व्दितीय,2nd
सेकंड,2nd
दुसरी,2nd
दुसरामजला,2nd floor
दुरामजला,2nd floor
दुमजली,2nd storyed
तीसरा,3rd
तिसरा,3rd
तिस,3rd
थर्ड,3rd
तिसर,3rd
तिसरी,3rd
तृतीय,3rd
तिसरे,3rd
तिसर्,3rd
तिसरामजल्,3rd floor
चौथ,4th
चोथा,4th
चवथा,4th
चौथ्,4th
फोर्थ,4th
चौथा,4th
चाैथा,4th
चाौथा,4th
चैाथा,4th
चौवथा,4th
चतुर्थ,4th
चौथामजला,4th floor
पांचवा,5th
पचवा,5th
फिफ्थ,5th
पाचव्,5th
पाचवा,5th
सव्विसावा,6th
षडज,6th
साह्वा,6th
सिक्सथ,6th
छठा,6th
स॑हावा,6th
सहाव्,6th
सहावा,6th
सातबंगला,7 bunglow
सत्तप्रकार,7 types
साहवा,7th
सहवा,7th
साथवा,7th
सातवे,7th
सेवंथ,7th
सातव्,7th
आठवा,8th
आठव्,8th
नववा,9th
नौवा,9th
नवव्,9th
ए,A
आ,A
अे,A
ऐे,A
अ,A
ऐ,A
ए',A
‘ए’,A
अँटॉप,a top
ए+,A+
