og_representation,mapping
पट्टे का अभित्याग,Abandonment of Lease
विक्रय अनुबंध विलेख (कब्जा),Purchase Contract Deed (Possession)
उप पट्टा विलेख,Sub Lease Deed
विक्रय पत्र,Sales Letter
स्वत्व पत्रों क ा निक्षेपण,Deposition of title papers
मुसन्ना,Duplicate
विक्रय अनुबंध विलेख (बिना कब्जा),Purchase Contract Deed (without possession)
जमानतनामा,Bail Application
अनुबंध विलेख(सामान्य),Contract Deed (General)
अंतरण पत्र,Transfer Paper
विक्रय अनुबंध विलेख का निरस्तीकरण,Cancellation of Sale Contract Deed
दान पत्र,Donation Letter
बंधक पत्र(बैंक कृषि ऋण),Mortgage Paper (bank agricultural loan)
प्रतिहस्तान्तरण विलेख (सरकारी ),Transfer Deed (official)
अंतरण विक्रय पत्र,Transfer Sales Letter
पट्टा विलेख(30 वर्ष से अधिक),Lease Deed (above 30 years)
विक्र य अनुबंध विलेख,Sale Contract Deed
अंतरण विक्र य पत्र,Transfer Sale Letter
व्यवसथापन विलेख,Arrangement Deed
पट्टाधिकार का अंतरण,Transfer of Jurisdiction
प्रतिविलेख(मुसन्ना),Copy (Musanna)
प्रतिहस्तान्तरण विलेख (बैंक कृषि ऋण),Transfer Deed (bank agricultural loan)
विक्र य अनुबंध विलेख (कब्जा),Sale contract deed (possession)
पट्टे क ा अभित्याग,Abandonment of Lease
प्रतिभूति पत्र,Letter of security
प्रतिहस्तान्तरण विलेख,Transfer deed
विनिमय विलेख,Regular deeds
बंधक पत्र (बिना कब्जा),Mortgage letter (without possession)
धारा 80 उ0प्र0 राजस्व संहिता 2006,Section 80 UP Revenue Code 2006
विक्रय का प्रमाणपत्र,Certificate of sale
विभाजन का विलेख,Deed of partition
पट्टाधिकार का अंतरण / विक्रय पत्र,Transfer of title
बंधक पत्र (कब्जा),Mortgage note
पूरक लेखपत्र,Supplementary document
पट्टाfधक ार क ा अंतरण,Lease transfer of lease
शुद्धिपत्र,Corrigendum
विक्र य अनुबंध विलेख (बिना कब्जा),Purchase Contract Deed (without possession)
पट्टा अनुबंध विलेख,Lease contract deed
रसीद,Receipt
पट्टा विलेख/ कबूलियतनामा,Lease deed
बंधक पत्र,Mortgage letter
विक्र य का प्रमाणपत्र,Sales Certificate
तितम्मा,Correction deed
विक्र य अनुबंध विलेख का निरस्तीकरण,Cancellation of Sale deed
दस्तवरदारी विलेख,Signature Deed
विक्रय अनुबंध विलेख (बिल्डर),Sales Contract Dealer (Builder)
प्रतिहसतान्तरण विलेख(सामान्य),Deed of transfer (general)
विक्र य पत्र,Sale Deed
स्वत्व पत्रों का निक्षेपण,Deposition of title papers
बाँड,Bond
बंधक पत्र (सरकारी ),Mortgage letter (government)
बंध पत्र (BOND),Mortgage letter (Bond)
पट्टा विलेख,Lease deed
