og_representation,mapping,confusion,frequency,example
यपुनोत्री,Yapunotri,,1,यपुनोत्री
यमुनाविहार,Yamuna vihar,,1,यमुनाविहार
यमनोत्री,Yamanotri,,1,यमनोत्री
व्योैपारियान,Vyaupariyan,y,1,व्योैपारियान
व्यौपारियान,Vyaupariyan,y,1,व्यौपारियान
व्यासघेरा,Vyasghera,,1,व्यासघेरा
व्यापारियाना,Vyapariyana,,1,व्यापारियाना
व्यापारियान,Vyapariyan,,8,मौ0 व्यापारियान
वुढेरा,Vudhera,,1,वुढेरा
वृथला,Vruthla,,9,"मई, वृथला"
वृषंगपुरा,Vrishangpura,,1,वृषंगपुरा
व्रहमकुण्ड,Vrahamkund,,1,व्रहमकुण्ड
वोरपा,Vorpa,,1,वोरपा
विठठौना,Vitthauna,y,1,विठठौना
विठौली,Vithauli,,3,विठौली
विसू,Visu,,2,"धानाखेमा, विसू"
विसु,Visu,,1,विसु
विश्रामपुर,Vishrampur,,8,"चीतपुर, विश्रामपुर, कागारौल"
विष्णुपुरी,Vishnupuri,,1,विष्णुपुरी
विष्णूपुरी,Vishnupuri,,1,विष्णूपुरी
विसहरा,Vishara,,5,"जौनई, विसहरा"
विशम्भरा,Vishambhara,,8,"बढ़ा बांगर, विशम्भरा"
विसावली,Visavali,,1,विसावली
विसारना,Visarna,,1,विसारना
विरजूगढी,Virjugadhi,,1,विरजूगढी
विरजापुर,Virjapur,,1,विरजापुर
विरहरु,Virharu,,13,"कुकावर, विरहरु"
विरौना,Virauna,,5,"अरतौनी, विरौना"
विरहरू,Virahru,,1,विरहरू
विपरावली,Vipravali,,3,विपरावली
विन्दागंज,Vindaganj,,1,विन्दागंज
वीलपुरा,Vilpura,,1,वीलपुरा
विलौठी,Vilothi,,7,"अकबरपुर, विलौठी"
विलौड़ा,Vilauda,,6,विलौड़ा
विक्रमपुर,Vikrampur,,3,विक्रमपुर
विजवारी,Vijvari,,7,"जटवारी, विजवारी"
विझामई,Vijhamaee,y,3,विझामई
विजयनगर,Vijay nagar,,1,नार्थविजयनगरकालौनी (नई)
विद्यापुर,Vidyapur,,7,"अभैदोपुरा, विद्यापुर"
विधौलीखेरागढ,Vidhauli kheragadh,,1,विधौलीखेरागढ
विडावली,Vidavali,,3,विडावली
वेहड़ी,Vehadi,,1,वेहड़ी
वेगमपुर,Vegampur,,1,वेगमपुर
वीरई,Veeraee,y,14,छीतापुरा नगला वीरई
वेदपुरा,Vedpura,,1,वेदपुरा
वेदनगर,Ved nagar,,1,वेदनगर
वाटी,Vati,,3,वाटी
वठैनकलां,Vathainkala,y,14,वठैनकलां
वसेयावोवला,Vaseyavovala,,8,"चेकोरा, वमनपुरा, वसेयावोवला"
वासौनी,Vasauni,,1,वासौनी
वरसाना,Varsana,,6,वरसाना
वरपुरा,Varpura,,1,वरपुरा
वरना,Varna,,3,वरना
वरीपुरा,Varipura,,1,वरीपुरा
वरचावली,Varchavli,,8,वरचावली
वरौली,Varauli,,13,"कचनऊ, वरौली"
वंशीधाम,Vanshidham,,1,वंशीधाम
वानपुर,Vanpur,,6,"वहा, वानपुर"
वनखण्डी,Vankhandi,,1,वनखण्डी
वनखण्‍डी,Vankhandi,,1,वनखण्‍डी
वनकटी,Vankati,,1,वनकटी
वाँगुरीं,Vanguri,Y,1,वाँगुरीं
वनारसीपुर,Vanarasipur,,5,"किलौनी, वनारसीपुर"
वमनपुरा,Vamanpura,,8,"चेकोरा, वमनपुरा"
वमान,Vaman,,3,वमान
वलीपुर,Valipur,,2,वलीपुर
वाकन्दाखास,Vakandakhas,,14,"खेडा बाकन्दा, वाकन्दाखास"
वकालपुर,Vakalpur,,10,"भिलावली, वकालपुर"
वाकलपुर,Vakalpur,,1,वाकलपुर
वकालात,Vakalat,,1,वकालात
वाजना,Vajna,,4,वाजना
वाजीदपुर,Vajidpur,,10,"गुड़ की मण्डी, डिठवार, वाजीदपुर"
वाजिदपुर,Vajidpur,,4,"थनसैरा, वाजिदपुर"
वजीरपुरा,Vajeerpura,,1,वजीरपुरा
वैष्णोधाम,Vaishnodham,,3,राधेग्रीन ⁄ वैष्णोधाम फेस–4
वैमन,Vaiman,,11,"टीकरी, दूरा, वाजीदपुर, वैमन"
वहरावली,Vahravali,,15,"लाड़पुर, वहरावली, लाड़पुर"
वहरामपुर,Vahrampur,,1,वहरामपुर
वहेंटा,Vahenta,,4,वहेंटा
वहा,Vaha,,9,"नारौल, वहा"
उत्तू,Uttu,,8,उत्तू
उत्तमपुरी,Uttampuri,,1,उत्तमपुरी
उत्तमगिरि,Uttamgiri,,1,उत्तमगिरि
उत्तमनगर,Uttam nagar,,1,उत्तमनगर
उटसाना,Utsana,,1,उटसाना
उसपार,Uspar,,1,उसपार
उसमानपुर,Usmanpur,,1,उसमानपुर
ऊषानगर,Usha nagar,,1,ऊषानगर
उसर्रा,Usarra,,2,उसर्रा
ऊसरा,Usara,,3,ऊसरा
ऊपरकोट,Uparkot,y,1,ऊपरकोट
ऊँटगिर,Untgir,,10,ऊँटगिर
उँटगिर,Untgir,,4,उँटगिर
उन्दी,Undi,,3,उन्दी
उऩ्देरा,Undera,,7,उऩ्देरा
उन्देरा,Undera,,1,उन्देरा
ऊँचागाँव,Unchagaon,,3,ऊँचागाँव
ऊँचा,uncha,,3,ऊँचा
उमराया,Umraya,,6,उमराया
उमराला,Umrala,,3,उमराला
उमरैठा,Umraitha,,3,उमरैठा
उमरी,Umari,,1,उमरी
ऊमरी,Umari,,1,ऊमरी
उखर्रा,Ukharra,,1,उखर्रा
उझावली,Ujhavali,,3,उझावली
उजरई,Ujaraee,y,7,उजरई
उगनपुरा,Uganpura,,1,उगनपुरा
ऊधर,Udhar,,2,ऊधर
