og_representation,doc_name_eng,mapping
36-अ-लिव्ह अॅड लायसन्सेस,36-A Leave and License,Lease
(36-अ)लिव्ह अॅड लायसन्सेस,36-A Leave and License,Lease
36-अ-Leave and Licenses,36-A Leave and License,Lease
36-अ-(36-अ)लिव्ह अॅड लायसन्सेस,36-A Leave and License,Lease
लिव्ह अॅड लायसन्सेस,36-A Leave and License,Lease
36-अ-(36-A) Leave and Licenses,36-A Leave and License,Lease
36-अ लिव्ह अॅड लायसन्सेस,36-A Leave and License,Lease
लिव्ह ऍन्ड लायसेन्स,36-A Leave and License,Lease
लिव्ह लायसेन्स,36-A Leave and License,Lease
लीव्ह अॅड लायसन्सेस,36-A Leave and License,Lease
अ)लिव्ह अॅड लायसन्सेस,36-A Leave and License,Lease
36-अ-(36-अ)लिव्ह अॅड लायसन्सेस चा पुरवणी करारनामा,36-A Leave and License,Lease
36-अ-(36-अ)लिव्ह अॅड लायसन्सेस-(36-अ)लिव्ह अॅड लायसन्सेस,36-A Leave and License,Lease
36-अ-(36-अ)लिव्ह अॅड लायस,36-A Leave and License,Lease
लिव्ह अँणड लायसन्स,36-A Live and License,Lease
71.(36-अ)लिव्ह अॅड लायसन्सेस,36-A Live and License,Lease
अ-(36-अ)लिव्ह अॅड लायसन्सेस,36-A Live and License,Lease
)लिव्ह अॅड लायसन्सेस,36-A Live and License,Lease
36-अ-(36-अ)लिव्ह अॅड लायसन्सेस-,36-A Live and License,Lease
-अ)लिव्ह अॅड लायसन्सेस,36-A Live and License,Lease
लिव्ह अॅड लायसन्सेस-,36-A Live and License,Lease
36-अ-(36-अ)लिव्ह अॅड लायसन्से,36-A Live and License,Lease
6-अ-(36-अ)लिव्ह अॅड लायसन्सेस,36-A Live and License,Lease
36-अलिव्ह अॅड लायसन्सेस,36-A Live and License,Lease
-(36-अ)लिव्ह अॅड लायसन्सेस,36-A Live and License,Lease
36-अ)लिव्ह अॅड लायसन्सेस,36-A Live and License,Lease
-अ-(36-अ)लिव्ह अॅड लायसन्सेस,36-A Live and License,Lease
अॅड लायसन्सेस,36-A Live and License,Lease
-लिव्ह अॅड लायसन्सेस,36-A Live and License,Lease
लिव्ह अॅड लायसन्सेस (लिज),36-A Live and License,Lease
66-Notice of Lease Pendancy,66-Notice of Lease Pendancy,Lease
AGREEMENT OF LEAVE AND LICENSE,AGREEMENT OF LEAVE AND LICENSE,Lease
अँग्रीमेंट टू लीज,Agreement to Lease,Lease
करारनामा/भाडेपट्टा,agreement/ rental lease,Lease
36-भाडेपट्टा,lease,Lease
भाडेपट्टा-करारनामा,lease agreement,Lease
भाडेपट्टा/करारनामा,lease agreement,Lease
पुरवणी भाडेपट्ट्याचा करारनामा,lease agreement,Lease
भाडेपट्टा,Lease Deed,Lease
लीजडीड,Lease Deed,Lease
लीज डीड,Lease deed,Lease
भाडेपट्ट्याचे प्रत्यार्पण,Lease extradition,Lease
58-भाडेपट्ट्याचा प्रत्यर्पण लेख,Lease extradition letter,Lease
अभिहस्तातंरणपत्र (लिज होल्ड राईटस ),Lease hold rights,Lease
Leave and Licenses,Leave and Licenses,Lease
लायसनपत्र,License Letter,Lease
नोटीस ऑफ़ लिस पेंडंसी,Notice of Lease Pendency,Lease
66-नोटीस ऑफ़ लिस पेंडंसी,Notice of Lease Pendency,Lease
-नोटीस ऑफ़ लिस पेंडंसी,notice of lease pendency,Lease
66.नोटीस ऑफ़ लिस पेंडंसी,notice of lease pendency,Lease
भाडेपट्ट्याचा प्रत्यर्पण लेख,Rental Lease,Lease
भाडेकरार,Rental Lease,Lease
-भाडेपट्टा,rental lease,Lease
भाडेपटटा,rental lease,Lease
भाडेपट्टा करारनामा,rental lease agreement,Lease
भाडेपट्टा/ करारनामा,rental lease/ agreement,Lease
भाडेपटाचे हस्तांतरण,Rental Transfer,Lease
पुरवणी भाडेपट्टा,Supplementary lease,Lease
भाडेपट्ट्याचे हस्तांतरणपत्र,Transfer of Lease,Lease
ट्रान्सफर ऑफ लीज,transfer of lease,Lease
हक्कलेखनिक्षेप दस्त,Deposit,Mortgage
डिपॉझिट ऑफ टायटल डीड,Deposit of Title Leed,Mortgage
"हक्कलेख-निक्षेप, हडप,तारण किंवा तारण गहाण",Deposit/Mortgage,Mortgage
40-गहाणखत ( शैक्षणिक कर्ज),Educational loan,Mortgage
इक्विटेबल मॉरगेजडीड,Equitable Mortgage Deed,Mortgage
गहाणखत,Mortgage,Mortgage
नजर गहाणखत,Mortgage,Mortgage
जादा बोजाचे गहाणखत,Mortgage,Mortgage
40-गहाणखत,Mortgage,Mortgage
-गहाणखत,mortgage,Mortgage
"6-हक्कलेख-निक्षेप, हडप,तारण किंवा तारण गहाण",mortgage,Mortgage
"-हक्कलेख-निक्षेप, हडप,तारण किंवा तारण गहाण",mortgage,Mortgage
ग॑हाणखत,mortgage,Mortgage
तारण गहाणखत,mortgage,Mortgage
गहाण्खत,Mortgage,Mortgage
गहाणख्त,Mortgage,Mortgage
गहाणखत (पुरवणी),Mortgage,Mortgage
गहा।खत,Mortgage,Mortgage
मॉरगेज डीड,Mortgage Deed,Mortgage
डीड ऑफ मॉरगेज,Mortgage Deed,Mortgage
एखाद्या पिकाचे गहाणखत,Mortgage of a crop,Mortgage
पिक गहाणखत,Mortgage of a crop,Mortgage
मॉरगेज विथ पझेशन,mortgage with possession,Mortgage
ताबा गहाणखत,Possession mortgage,Mortgage
सिक्युरिटी बॉण्ड,security bond,Mortgage
सप्लीमेंट डीड ऑफ मॉरगेज,Supplement deed of mortgage,Mortgage
"Agreement Relating to Deposit of Title Deeds,Pawn","Agreement Relating to Deposit of Title Deeds,Pawn",Mortgage
--Select Article Description--,--Select Article Description--,Others
1-Acknowledgement/Possession Receipt,1-Acknowledgement/Possession Receipt,Others
2-Administration Bond,2-Administration Bond,Others
35-Insepectorship Bond,35-Insepectorship Bond,Others
73-Work Contract,73-Work Contract,Others
